INTERVAL_DATETIME,REGIONID,POWER
2018-08-12,NSW1,973.657
2018-08-12,QLD1,1317.508
2018-08-12,SA1,398.307
2018-08-12,TAS1,55.929
2018-08-12,VIC1,676.57
2018-08-13,NSW1,943.303
2018-08-13,QLD1,1351.12
2018-08-13,SA1,271.496
2018-08-13,TAS1,47.343
2018-08-13,VIC1,438.193
2018-08-14,NSW1,1061.209
2018-08-14,QLD1,1376.472
2018-08-14,SA1,602.808
2018-08-14,TAS1,46.362
2018-08-14,VIC1,819.314
2018-08-15,NSW1,1055.413
2018-08-15,QLD1,1379.66
2018-08-15,SA1,422.19
2018-08-15,TAS1,42.231
2018-08-15,VIC1,664.198
2018-08-16,NSW1,1003.778
2018-08-16,QLD1,1353.405
2018-08-16,SA1,497.83
2018-08-16,TAS1,69.908
2018-08-16,VIC1,601.353
2018-08-17,NSW1,1030.049
2018-08-17,QLD1,1410.182
2018-08-17,SA1,471.27
2018-08-17,TAS1,51.342
2018-08-17,VIC1,768.475
2018-08-18,NSW1,936.856
2018-08-18,QLD1,1418.692
2018-08-18,SA1,518.435
2018-08-18,TAS1,59.005
2018-08-18,VIC1,571.955
2018-08-19,NSW1,1008.232
2018-08-19,QLD1,1448.519
2018-08-19,SA1,363.783
2018-08-19,TAS1,72.526
2018-08-19,VIC1,620.823
2018-08-20,NSW1,1115.61
2018-08-20,QLD1,1490.924
2018-08-20,SA1,343.829
2018-08-20,TAS1,31.799
2018-08-20,VIC1,468.513
2018-08-21,NSW1,1011.765
2018-08-21,QLD1,1438.655
2018-08-21,SA1,450.837
2018-08-21,TAS1,55.151
2018-08-21,VIC1,455.234
2018-08-22,NSW1,899.532
2018-08-22,QLD1,1457.52
2018-08-22,SA1,600.457
2018-08-22,TAS1,67.92
2018-08-22,VIC1,520.471
2018-08-23,NSW1,801.793
2018-08-23,QLD1,1328.159
2018-08-23,SA1,467.796
2018-08-23,TAS1,76.334
2018-08-23,VIC1,785.962
2018-08-24,NSW1,819.827
2018-08-24,QLD1,1228.374
2018-08-24,SA1,595.354
2018-08-24,TAS1,77.563
2018-08-24,VIC1,856.781
2018-08-25,NSW1,598.928
2018-08-25,QLD1,1127.86
2018-08-25,SA1,600.079
2018-08-25,TAS1,74.113
2018-08-25,VIC1,862.716
2018-08-26,NSW1,490.366
2018-08-26,QLD1,718.711
2018-08-26,SA1,570.557
2018-08-26,TAS1,57.461
2018-08-26,VIC1,805.864
