I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:00:00",TASS,46.46,1,MEASUREMENT,"2022/02/20 10:20:38"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:00:00",VIC1,1500.218,1,MEASUREMENT,"2022/02/20 10:20:38"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:30:00",NSW1,2681.167,1,MEASUREMENT,"2022/02/20 10:49:34"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:30:00",QLD1,1999.706,1,MEASUREMENT,"2022/02/20 10:49:34"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:30:00",QLDC,218.087,1,MEASUREMENT,"2022/02/20 10:49:34"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:30:00",QLDN,361.519,1,MEASUREMENT,"2022/02/20 10:49:34"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:30:00",QLDS,1420.1,1,MEASUREMENT,"2022/02/20 10:49:34"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:30:00",SA1,454.302,1,MEASUREMENT,"2022/02/20 10:49:34"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:30:00",TAS1,93.985,1,MEASUREMENT,"2022/02/20 10:49:34"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:30:00",TASN,44.027,1,MEASUREMENT,"2022/02/20 10:49:34"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:30:00",TASS,49.905,1,MEASUREMENT,"2022/02/20 10:49:34"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:30:00",VIC1,1620.407,1,MEASUREMENT,"2022/02/20 10:49:34"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:00:00",NSW1,2702.439,1,MEASUREMENT,"2022/02/20 11:19:35"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:00:00",QLD1,2063.908,1,MEASUREMENT,"2022/02/20 11:19:35"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:00:00",QLDC,231.648,1,MEASUREMENT,"2022/02/20 11:19:35"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:00:00",QLDN,379.396,1,MEASUREMENT,"2022/02/20 11:19:35"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:00:00",QLDS,1452.864,1,MEASUREMENT,"2022/02/20 11:19:35"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:00:00",SA1,442.817,1,MEASUREMENT,"2022/02/20 11:19:35"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:00:00",TAS1,98.427,1,MEASUREMENT,"2022/02/20 11:19:35"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:00:00",TASN,51.108,1,MEASUREMENT,"2022/02/20 11:19:35"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:00:00",TASS,47.308,1,MEASUREMENT,"2022/02/20 11:19:35"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:00:00",VIC1,1765.623,1,MEASUREMENT,"2022/02/20 11:19:35"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:30:00",NSW1,2860.592,1,MEASUREMENT,"2022/02/20 11:49:36"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:30:00",QLD1,2050.3,1,MEASUREMENT,"2022/02/20 11:49:36"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:30:00",QLDC,244.892,1,MEASUREMENT,"2022/02/20 11:49:36"
