I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:30:00",TASN,33.248,0.6,SATELLITE,"2022/02/20 10:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:30:00",TASS,40.204,0.6,SATELLITE,"2022/02/20 10:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:30:00",VIC1,1650.93,0.6,SATELLITE,"2022/02/20 10:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:00:00",NSW1,2766.233,0.6,SATELLITE,"2022/02/20 11:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:00:00",QLD1,1947.231,0.6,SATELLITE,"2022/02/20 11:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:00:00",QLDC,240.05,0.6,SATELLITE,"2022/02/20 11:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:00:00",QLDN,441.59,0.6,SATELLITE,"2022/02/20 11:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:00:00",QLDS,1265.591,0.6,SATELLITE,"2022/02/20 11:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:00:00",SA1,388.034,0.6,SATELLITE,"2022/02/20 11:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:00:00",TAS1,81.674,0.6,SATELLITE,"2022/02/20 11:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:00:00",TASN,42.747,0.6,SATELLITE,"2022/02/20 11:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:00:00",TASS,38.927,0.6,SATELLITE,"2022/02/20 11:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:00:00",VIC1,1815.469,0.6,SATELLITE,"2022/02/20 11:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:30:00",NSW1,2918.149,0.6,SATELLITE,"2022/02/20 11:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:30:00",QLD1,1940.365,0.6,SATELLITE,"2022/02/20 11:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:30:00",QLDC,261.835,0.6,SATELLITE,"2022/02/20 11:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:30:00",QLDN,459.658,0.6,SATELLITE,"2022/02/20 11:50:26"
